number,value,datetime_start,datetime_complete,duration,params_batch_size,params_decay_rate,params_decay_steps,params_drop_rate,params_epochs_drop,params_l1_reg,params_l2_reg,params_learning_rate,params_scheduler_type,state
28,384.4872619787281,2025-06-18 10:44:28.803354,2025-06-18 10:44:28.824866,0 days 00:00:00.021512,64,,,0.103597967426025,20.0,0.06565898222833541,0.000554953710258598,0.01790797553808819,step,COMPLETE
29,384.00124366428867,2025-06-18 10:44:28.825093,2025-06-18 10:44:28.874572,0 days 00:00:00.049479,16,0.6040605942113377,,,,0.006824434043773725,2.9938243345143356e-05,0.04426749029725912,inverse,COMPLETE
30,9179.741431225322,2025-06-18 10:44:28.874818,2025-06-18 10:44:28.923502,0 days 00:00:00.048684,16,0.07005562372449059,,,,3.357951094625289e-05,6.78406724424789e-05,0.00023520710323554202,inverse,COMPLETE
31,383.4328803843848,2025-06-18 10:44:28.923723,2025-06-18 10:44:28.974698,0 days 00:00:00.050975,16,0.21076226816753815,,,,0.05554043363616838,0.00029053295212245583,0.007037496908590838,inverse,COMPLETE
32,383.4468071576487,2025-06-18 10:44:28.974941,2025-06-18 10:44:29.025807,0 days 00:00:00.050866,16,0.24949750624329325,,,,0.005007149756124773,0.0009619166547573892,0.007783353633670531,inverse,COMPLETE
33,400.78401006025115,2025-06-18 10:44:29.026080,2025-06-18 10:44:29.079497,0 days 00:00:00.053417,16,0.3371938649342098,,,,0.003507336356470403,0.0007509669167242682,0.00594452201822463,inverse,COMPLETE
34,461.6914287036604,2025-06-18 10:44:29.079737,2025-06-18 10:44:29.130865,0 days 00:00:00.051128,16,0.12121614224349958,,,,0.006944712034076699,0.00019786651580566567,0.0025503582152129585,inverse,COMPLETE
35,4810.731545672942,2025-06-18 10:44:29.131074,2025-06-18 10:44:29.148313,0 days 00:00:00.017239,128,0.2580109616730822,,,,0.0010947042911030333,0.0017852656144337503,0.0066733238455557705,inverse,COMPLETE
36,384.9774250336488,2025-06-18 10:44:29.148526,2025-06-18 10:44:29.199222,0 days 00:00:00.050696,16,0.8243359875242255,1.0,,,0.00036820420418639946,0.007996839201558338,0.015948776585141117,exponential,COMPLETE
37,383.98722797581013,2025-06-18 10:44:29.199449,2025-06-18 10:44:29.249556,0 days 00:00:00.050107,16,,,0.3927990278039101,6.0,0.0021974441192632315,0.0009396162459942476,0.03381648408850538,step,COMPLETE
38,9557.191251737679,2025-06-18 10:44:29.249800,2025-06-18 10:44:29.282131,0 days 00:00:00.032331,32,0.45079894112493357,,,,0.030634123198533383,8.935638737677867e-05,0.001280974117864199,inverse,COMPLETE
39,16051.318910756885,2025-06-18 10:44:29.282376,2025-06-18 10:44:29.300777,0 days 00:00:00.018401,128,0.8765562896423855,1.0,,,0.1044169464383923,0.021701681292515148,0.0005963864618402198,exponential,COMPLETE
40,14971.239729217059,2025-06-18 10:44:29.301006,2025-06-18 10:44:29.352882,0 days 00:00:00.051876,16,0.057863223281570446,,,,0.3931551167143449,1.9967019740262597e-05,5.2657097835169674e-05,inverse,COMPLETE
41,383.4765984310825,2025-06-18 10:44:29.353135,2025-06-18 10:44:29.403282,0 days 00:00:00.050147,16,0.2266580222023375,,,,0.040860801028887554,0.0003144672710813284,0.008230806846302579,inverse,COMPLETE
42,447.9120229819443,2025-06-18 10:44:29.403497,2025-06-18 10:44:29.452562,0 days 00:00:00.049065,16,0.14117008417816887,,,,0.009767634047688751,0.00024269447849805707,0.0028728854930543746,inverse,COMPLETE
43,383.9352346166632,2025-06-18 10:44:29.452766,2025-06-18 10:44:29.502431,0 days 00:00:00.049665,16,0.23404936160223608,,,,0.02840530808569845,0.0005730409314699335,0.016057424479756565,inverse,COMPLETE
44,384.64908800154814,2025-06-18 10:44:29.502670,2025-06-18 10:44:29.552885,0 days 00:00:00.050215,16,,,,,0.09806916901635847,9.467877321454563e-05,0.006802698928600457,constant,COMPLETE
45,384.0951435855623,2025-06-18 10:44:29.553106,2025-06-18 10:44:29.605152,0 days 00:00:00.052046,16,0.3160626343465516,,,,0.022080799306208224,0.002380295958010415,0.06146522615670219,inverse,COMPLETE
46,407.9778240999793,2025-06-18 10:44:29.605370,2025-06-18 10:44:29.628362,0 days 00:00:00.022992,64,0.9595086714715924,8.0,,,0.1749553123726245,0.001138708903587677,0.004438731247494674,exponential,COMPLETE
47,383.9381740822485,2025-06-18 10:44:29.628604,2025-06-18 10:44:29.681108,0 days 00:00:00.052504,16,0.6526692000429939,,,,0.005020226482684397,0.0002797309705968457,0.02432920473239192,inverse,COMPLETE
48,4520.344105789835,2025-06-18 10:44:29.681332,2025-06-18 10:44:29.712424,0 days 00:00:00.031092,32,0.22119768944695398,,,,0.04498502322241891,0.0005921073574209623,0.0018746261834588396,inverse,COMPLETE
49,384.05526151580716,2025-06-18 10:44:29.712682,2025-06-18 10:44:29.763563,0 days 00:00:00.050881,16,,,0.8962698827358184,15.0,0.001567187225136126,3.835500525664981e-05,0.00339341919954038,step,COMPLETE
